identifier,price,timestamp
silex-400-oak-bork-2026,1599,1756745385127
silex-400-warm-slate-grey-2026,1599,1756745389005
escape-city-disc-1-2024,899,1756759467448
roam-disc-2-2024,899,1756759469714
roam-2,999,1756759471648
fastroad-sl-3-2022,999,1756759473574
fastroad-ar-2,1199,1756759475595
sdrbike-escape-1-city-disc,899,1756759478486
thrive-2,1199,1756759481056
rove-2,799,1756759483289
allure-rs-1-2023,1199,1756759485644
allure-rs-2-2022,799,1756759488121
allure-rs-2-2023,949,1756759490258
allure-rs-2-2024,799,1756759492502
devote-1-2024,1399,1756759494344
devote-1-2022,1699,1756759496333
silex-400-oak-bork-2026,1599,1756759500438
silex-400-warm-slate-grey-2026,1599,1756759505233
escape-city-disc-1-2024,899,1756788527366
roam-disc-2-2024,899,1756788529652
roam-2,999,1756788531555
fastroad-sl-3-2022,999,1756788533864
fastroad-ar-2,1199,1756788536040
sdrbike-escape-1-city-disc,899,1756788539879
thrive-2,1199,1756788542160
rove-2,799,1756788544220
allure-rs-1-2023,1199,1756788546108
allure-rs-2-2022,799,1756788548592
allure-rs-2-2023,949,1756788550579
allure-rs-2-2024,799,1756788552257
devote-1-2024,1399,1756788554364
devote-1-2022,1699,1756788556303
silex-400-oak-bork-2026,1599,1756788559918
silex-400-warm-slate-grey-2026,1599,1756788563472
escape-city-disc-1-2024,899,1756803135532
roam-disc-2-2024,899,1756803137476
roam-2,999,1756803139453
fastroad-sl-3-2022,999,1756803141518
fastroad-ar-2,1199,1756803143496
sdrbike-escape-1-city-disc,899,1756803145909
thrive-2,1199,1756803148377
rove-2,799,1756803150079
allure-rs-1-2023,1199,1756803151848
allure-rs-2-2022,799,1756803153874
allure-rs-2-2023,949,1756803155616
allure-rs-2-2024,799,1756803157028
devote-1-2024,1399,1756803158904
devote-1-2022,1699,1756803160821
silex-400-oak-bork-2026,1599,1756803164158
silex-400-warm-slate-grey-2026,1599,1756803167393
escape-city-disc-1-2024,899,1756818572669
roam-disc-2-2024,899,1756818575599
roam-2,999,1756818577938
fastroad-sl-3-2022,999,1756818580373
fastroad-ar-2,1199,1756818583162
sdrbike-escape-1-city-disc,899,1756818586355
thrive-2,1199,1756818588892
rove-2,799,1756818590991
allure-rs-1-2023,1199,1756818593319
allure-rs-2-2022,799,1756818595744
allure-rs-2-2023,949,1756818597806
allure-rs-2-2024,799,1756818599756
devote-1-2024,1399,1756818602319
devote-1-2022,1699,1756818605001
silex-400-oak-bork-2026,1599,1756818609218
silex-400-warm-slate-grey-2026,1599,1756818613836
escape-city-disc-1-2024,899,1756831810071
roam-disc-2-2024,899,1756831811669
roam-2,999,1756831813212
fastroad-sl-3-2022,999,1756831814725
fastroad-ar-2,1199,1756831816296
sdrbike-escape-1-city-disc,899,1756831818873
thrive-2,1199,1756831820804
rove-2,799,1756831822416
allure-rs-1-2023,1199,1756831823952
